"Participant" "Bias" "Named" "AGEYEAR" "DiscardTrial"
"1" "P01Task1" "ABC" "A" "Three" 0
"2" "P01Task1" "ABC" "B" "Three" 0
"3" "P01Task1" "CBA" "B" "Three" 0
"4" "P01Task1" "CBA" "C" "Three" 0.166666666666667
"5" "P01Task1" "FLAT" "A" "Three" 0
"6" "P01Task1" "FLAT" "B" "Three" 0
"7" "P01Task1" "FLAT" "C" "Three" 0
"8" "P02Tas1" "ABC" "A" "Three" 0
"9" "P02Tas1" "ABC" "B" "Three" 0
"10" "P02Tas1" "CBA" "B" "Three" 0
"11" "P02Tas1" "CBA" "C" "Three" 0
"12" "P02Tas1" "FLAT" "A" "Three" 0
"13" "P02Tas1" "FLAT" "B" "Three" 0
"14" "P02Tas1" "FLAT" "C" "Three" 0
"15" "P03Task1" "ABC" "A" "Three" 0
"16" "P03Task1" "ABC" "B" "Three" 0
"17" "P03Task1" "CBA" "B" "Three" 0
"18" "P03Task1" "CBA" "C" "Three" 0
"19" "P03Task1" "FLAT" "A" "Three" 0
"20" "P03Task1" "FLAT" "B" "Three" 0
"21" "P03Task1" "FLAT" "C" "Three" 0
"22" "P04Task2" "ABC" "A" "Three" 0
"23" "P04Task2" "ABC" "B" "Three" 0
"24" "P04Task2" "CBA" "B" "Three" 0
"25" "P04Task2" "CBA" "C" "Three" 0
"26" "P04Task2" "FLAT" "A" "Three" 0
"27" "P04Task2" "FLAT" "B" "Three" 0
"28" "P04Task2" "FLAT" "C" "Three" 0
"29" "P05Task2" "ABC" "A" "Two" 0
"30" "P05Task2" "ABC" "B" "Two" 0
"31" "P05Task2" "CBA" "B" "Two" 0
"32" "P05Task2" "CBA" "C" "Two" 0.25
"33" "P05Task2" "FLAT" "A" "Two" 0
"34" "P05Task2" "FLAT" "B" "Two" 0
"35" "P05Task2" "FLAT" "C" "Two" 0
"36" "P06Task2" "ABC" "A" "Two" 0
"37" "P06Task2" "ABC" "B" "Two" 0
"38" "P06Task2" "CBA" "B" "Two" 0.166666666666667
"39" "P06Task2" "CBA" "C" "Two" 0
"40" "P06Task2" "FLAT" "A" "Two" 0
"41" "P06Task2" "FLAT" "B" "Two" 0.2
"42" "P06Task2" "FLAT" "C" "Two" 0
"43" "P07Task1" "ABC" "A" "Two" 0
"44" "P07Task1" "ABC" "B" "Two" 0
"45" "P07Task1" "CBA" "B" "Two" 0
"46" "P07Task1" "CBA" "C" "Two" 0
"47" "P07Task1" "FLAT" "A" "Two" 0.333333333333333
"48" "P07Task1" "FLAT" "B" "Two" 0.2
"49" "P07Task1" "FLAT" "C" "Two" 0
"50" "P08Task1" "ABC" "A" "Two" 0
"51" "P08Task1" "ABC" "B" "Two" 0
"52" "P08Task1" "CBA" "B" "Two" 0
"53" "P08Task1" "CBA" "C" "Two" 0
"54" "P08Task1" "FLAT" "A" "Two" 0
"55" "P08Task1" "FLAT" "B" "Two" 0
"56" "P08Task1" "FLAT" "C" "Two" 0
"57" "P09Task1" "ABC" "A" "Three" 0
"58" "P09Task1" "ABC" "B" "Three" 0
