"Participant" "TimeToFirstFixModel"
"P01Task1" 727.522181077208
"P02Tas1" 755.846705417042
"P03Task1" 760.87041803094
"P04Task2" 737.83125009247
"P05Task2" 864.395949642383
"P06Task2" 758.964310204407
"P07Task1" 749.277328938239
"P08Task1" 728.745657114804
"P09Task1" 799.548288053321
"P100Task2" 717.426263627121
"P101Task2" 765.318050601364
"P102Task2" 774.380362616014
"P103Task1" 696.830128393275
"P104Task1" 760.685093114799
"P105Task1" 739.82576171981
"P106Task2" 680.116227540958
"P107Task2" 774.278582692904
"P108Task2" 777.775436124965
"P10Task2" 795.948668537244
"P110Task1" 761.636520559814
"P111Task1" 739.069019899364
"P112Task2" 755.681954669427
"P113Task2" 726.023106210726
"P114Task2" 732.749536662055
"P115Task1" 779.675755926519
"P116Task1" 898.906411965265
"P117Task1" 759.546784187063
"P118Task2" 708.740878351974
"P119Task2" 777.721335000034
"P11Task2" 768.402807040756
"P120Task2" 719.45658441864
"P121Task1" 703.18152782684
"P122Task1" 728.967667736991
"P123Task1" 772.860639338678
"P124Task2" 695.276238537935
"P125Task2" 765.044871943973
"P126Task2" 748.625197850098
"P127Task1" 738.905570850417
"P129Task1" 828.815178179821
"P12Task2" 759.499817074128
"P130Task2" 701.518128239348
"P131Task2" 712.747549391617
"P132Task2" 682.395634541975
"P133Task1" 804.068595541478
"P134Task1" 795.568270344352
"P135Task1" 779.393936506777
"P136Task2" 738.423133658651
"P137Task2" 664.070588931758
"P138Task2" 669.885625436937
"P139Task1" 835.967772152101
"P140Task1" 747.080163005821
"P141Task1" 748.844143139519
"P142Task2" 717.154843622043
"P143Task2" 730.918787113094
"P144Task2" 772.974383702566
"P145Task1" 703.962790448765
"P146Task1" 745.338386702691
"P147Task1" 759.012274132823
"P148Task2" 727.487451385914
"P149Task2" 766.836538503316
"P14Task1" 722.047030440008
"P150Task2" 756.767142143404
"P151Task1" 732.867374672552
"P152Task1" 763.633089295889
"P153Task1" 785.437127379459
"P154Task2" 761.096687189694
"P155Task2" 775.055955817694
"P156Task2" 732.611871519413
"P157Task1" 695.077063645854
"P158Task1" 786.238444959644
"P159Task1" 732.619016766424
"P15Task1" 755.761835772505
"P160Task2" 726.152738914872
"P161Task2" 789.157169387711
"P162Task2" 762.351776008114
"P163Task1" 804.275395126779
"P164Task1" 777.339781817491
"P165Task1" 674.84800601991
"P166Task2" 719.404550711079
"P167Task2" 734.189314441052
"P168Task2" 714.027538083827
"P169Task1" 739.480190200737
"P16Task2" 764.582593000647
"P170Task1" 741.0239656684
"P171Task1" 727.939508105325
"P172Task2" 760.142158592238
"P173Task2" 714.970804839911
"P175Task1" 772.7554113698
