"PartCode";"Value";"Participant";"Age";"BPVS"
1;-2.8717172819134;"P01Task1";43;28
2;-0.806928469361005;"P02Tas1";42;40
3;-1.10779513737321;"P03Task1";46;51
4;-0.733007399146222;"P04Task2";39;35
5;-0.485886132213429;"P05Task2";26;30
6;-2.73250674392058;"P06Task2";34;44
7;-1.95255304057138;"P07Task1";35;37
8;-0.803741292977184;"P08Task1";30;12
9;-2.0880956603783;"P09Task1";36;47
10;-0.223257692111646;"P100Task2";37;33
11;1.98385392299422;"P101Task2";48;43
12;-0.0421142074872103;"P102Task2";48;41
13;-0.979935753300315;"P103Task1";41;73
14;1.60222072578682;"P104Task1";35;30
15;-0.593501904736532;"P105Task1";56;56
16;0.185581903323579;"P106Task2";40;40
17;-1.76842509147675;"P107Task2";44;42
18;-1.24482441230057;"P108Task2";50;49
19;-1.04532571640965;"P10Task2";35;30
20;-0.189958841722312;"P110Task1";43;43
21;-0.395838303357974;"P111Task1";44;37
22;-1.18713586867195;"P112Task2";35;26
23;-0.0146004892654511;"P113Task2";47;39
24;3.66918888323699;"P114Task2";47;67
25;-1.93153535648659;"P115Task1";55;48
26;-1.25989888697615;"P116Task1";30;34
27;-0.602283785052653;"P117Task1";32;26
28;2.28980371144103;"P118Task2";34;35
29;1.15150260928874;"P119Task2";31;29
30;1.27777194434707;"P11Task2";24;23
31;1.25013122014991;"P120Task2";26;19
32;-0.888724347850937;"P121Task1";58;55
33;0.625727406216769;"P122Task1";55;54
34;-0.834601118499927;"P123Task1";52;51
35;1.03341504898773;"P124Task2";57;66
36;0.812341509675059;"P125Task2";53;51
37;2.38540601849104;"P126Task2";39;48
38;-0.645721974383668;"P127Task1";37;30
39;-2.78150920152608;"P129Task1";28;24
40;1.43435292937857;"P12Task2";32;40
41;1.40038666321505;"P130Task2";56;75
42;1.29575681017237;"P131Task2";61;57
43;0.818178042128125;"P132Task2";60;72
44;-0.695829994897816;"P133Task1";27;12
45;-0.0498609166306681;"P134Task1";34;29
46;-2.95897426729747;"P135Task1";29;32
47;-3.65767332964604;"P136Task2";56;61
48;-0.749271772480697;"P137Task2";54;70
49;-1.7300171826052;"P138Task2";61;46
50;-1.3874817848061;"P139Task1";27;23
51;-0.0901416013796751;"P140Task1";29;15
52;1.70160474960547;"P141Task1";32;22
53;0.554427192481762;"P142Task2";60;49
54;2.67876378408966;"P143Task2";28;25
55;0.8294720174704;"P144Task2";49;58
56;-0.788075778504722;"P145Task1";31;35
57;-1.07549497798089;"P146Task1";27;35
58;0.271650353669031;"P147Task1";28;28
