"PartCode";"Value";"Participant";"Age";"BPVS"
1;5.62391175488535;"P01Task1";43;28
2;11.049788553454;"P02Tas1";42;40
3;6.80273792367985;"P03Task1";46;51
4;2.97958591585663;"P04Task2";39;35
5;6.32195571601253;"P05Task2";26;30
6;5.86347733031657;"P06Task2";34;44
7;2.97233811221398;"P07Task1";35;37
8;-1.32244635456093;"P08Task1";30;12
9;8.07227677277274;"P09Task1";36;47
10;5.33468900167373;"P100Task2";37;33
11;7.62451914328393;"P101Task2";48;43
12;6.22431561533842;"P102Task2";48;41
13;4.22454079893482;"P103Task1";41;73
14;6.78132801984326;"P104Task1";35;30
15;5.808181556245;"P105Task1";56;56
16;5.35299356446485;"P106Task2";40;40
17;7.10334208163053;"P107Task2";44;42
18;10.3329111616695;"P108Task2";50;49
19;6.58209231687634;"P10Task2";35;30
20;6.83232036753318;"P110Task1";43;43
21;3.85672776329121;"P111Task1";44;37
22;6.50859616391802;"P112Task2";35;26
23;6.53258984251784;"P113Task2";47;39
24;5.33533029419939;"P114Task2";47;67
25;7.32338924506834;"P115Task1";55;48
26;9.54773711452837;"P116Task1";30;34
27;4.93918443319683;"P117Task1";32;26
28;6.98191073480378;"P118Task2";34;35
29;8.89484762706231;"P119Task2";31;29
30;2.72038015604694;"P11Task2";24;23
31;-1.55212440479726;"P120Task2";26;19
32;5.15105713395957;"P121Task1";58;55
33;7.1972422498276;"P122Task1";55;54
34;8.79080754656609;"P123Task1";52;51
35;4.59527468662318;"P124Task2";57;66
36;6.47492960633652;"P125Task2";53;51
37;8.9804470044094;"P126Task2";39;48
38;3.20798335507741;"P127Task1";37;30
39;5.92298265283217;"P129Task1";28;24
40;9.24091922342786;"P12Task2";32;40
41;5.76997290401868;"P130Task2";56;75
42;7.19174217717819;"P131Task2";61;57
43;3.7263168443867;"P132Task2";60;72
44;5.75775920889064;"P133Task1";27;12
45;5.05168112032692;"P134Task1";34;29
46;7.68041613906566;"P135Task1";29;32
47;1.05726119652655;"P136Task2";56;61
48;3.26703473851287;"P137Task2";54;70
49;1.71079414887976;"P138Task2";61;46
50;7.64831333369211;"P139Task1";27;23
51;4.72950586113203;"P140Task1";29;15
52;5.65597777587451;"P141Task1";32;22
53;5.51297314092027;"P142Task2";60;49
54;4.10185816534647;"P143Task2";28;25
55;6.27044303323248;"P144Task2";49;58
56;4.51683861435648;"P145Task1";31;35
57;4.26649964885811;"P146Task1";27;35
58;5.13727390990616;"P147Task1";28;28
59;3.17926944018335;"P148Task2";27;17
60;4.94859525570272;"P149Task2";29;32
61;3.11436404312617;"P14Task1";45;19
62;5.69940430247957;"P150Task2";34;29
63;3.86378187411629;"P151Task1";24;27
64;4.46941322800434;"P152Task1";33;14
65;7.79714942600984;"P153Task1";44;38
66;0.980374071097094;"P154Task2";34;39
67;8.07837717293106;"P155Task2";32;33
68;3.58369671706618;"P156Task2";33;23
69;1.07236123515892;"P157Task1";26;24
70;8.09859086776578;"P158Task1";41;37
71;7.54593954967119;"P159Task1";44;44
72;5.3731252820801;"P15Task1";43;40
73;7.97993619302246;"P160Task2";33;53
74;7.54551089329996;"P161Task2";47;57
75;8.0966207259266;"P162Task2";39;34
76;4.35392935758045;"P163Task1";30;28
77;8.76793512331176;"P164Task1";44;62
78;2.20834073227885;"P165Task1";45;60
79;4.98794650584794;"P166Task2";48;44
80;4.24076562128122;"P167Task2";51;40
81;4.27594238802875;"P168Task2";45;42
82;4.72660836612976;"P169Task1";36;34
83;6.78933767638575;"P16Task2";47;37
84;3.79780623881688;"P170Task1";51;52
85;7.10041465159349;"P171Task1";62;58
86;6.99471149542362;"P172Task2";62;72
87;8.07728004959494;"P173Task2";62;57
88;7.11405827750154;"P175Task1";36;39
89;9.15551609868342;"P176Task1";53;53
90;5.47939438497985;"P177Task1";58;79
91;7.8944912444008;"P178Task2bis";57;62
92;4.59698082219692;"P179Task2";62;58
93;8.39141825905637;"P17Task2";45;55
94;2.3573826373646;"P180Task2";57;84
95;4.98947767913666;"P181Task1bis";36;38
96;6.5038004369281;"P182Task1";55;50
97;2.53462798141699;"P183Task1";62;71
98;6.97544420088759;"P184Task2";65;56
99;3.90838527388062;"P185Task2";48;37
100;6.47089859572891;"P186Task2";48;31
101;8.74385283600426;"P187Task1";46;53
102;7.20899498501728;"P188Task1";49;42
103;6.47550982376057;"P189Task1";48;45
104;7.37789535394559;"P192Task2";49;56
105;3.79084898038799;"P193Task1";40;36
106;5.36186971683005;"P198Task2";60;71
107;6.31964420103702;"P199Task1";41;49
108;6.99912363286151;"P19Task1";44;41
109;4.07359841144377;"P200Task1";31;22
110;5.31964795412936;"P201Task1";31;20
111;5.09393584644481;"P202Task1";25;28
112;8.35966597685362;"P203Task2";35;20
113;3.75515342901351;"P204Task2";26;21
114;1.54812357475531;"P205Task2";33;29
115;6.07836937391527;"P206Task1";30;24
116;4.92241970702162;"P207Task1";34;33
117;3.0894920114918;"P208Task1";34;23
118;3.54168119530465;"P209Task2";31;24
119;2.82423999875211;"P20Task1";50;48
120;2.2956147394367;"P210Task2";28;17
121;2.65661735624991;"P211Task2";25;12
122;3.97063654215944;"P212Task1";26;8
123;6.4963989881498;"P213Task1";33;21
124;3.24334220720592;"P214Task1";24;17
125;2.85471837400725;"P215Task2";26;19
126;4.02930127716401;"P216Task2";32;21
127;5.89577488067106;"P217Task2";24;2
128;5.13300134149301;"P21Task1";52;69
129;3.77246456270529;"P22Task2";38;30
130;1.43893536669926;"P23Task2";51;53
131;6.16234082996985;"P24Task2";41;58
132;5.63833111941332;"P25Task1";57;44
133;9.06640062847338;"P26Task1";54;55
134;5.50414770248865;"P27Task1";41;30
135;5.06376551449861;"P28Task2";48;38
136;4.43340323555395;"P29Task2";48;52
137;8.03075920135723;"P300Task1";44;47
138;4.25237698356408;"P301Task1";37;23
139;5.47152750941072;"P302Task1";47;46
140;-0.0320089819406828;"P304Task2";37;40
141;5.46248622906049;"P305Task2";36;34
142;8.84669289999114;"P306Task2";44;50
143;0.950784626242942;"P30Task2";39;32
144;3.82737805593072;"P31Task1";50;72
145;4.8115505319937;"P32Task1";37;38
146;4.84572576889896;"P33Task1";55;82
147;5.84312147954843;"P34Task2";43;47
148;7.11952321001174;"P35Task2";47;54
149;5.41446848011518;"P36Task2";48;37
150;6.77651260231647;"P37Task1";37;38
151;3.99738046843445;"P38Task1";54;64
152;7.5710738825921;"P39Task1";54;56
153;4.23349951481126;"P400Task1";54;43
154;5.00778921894155;"P401Task1";58;46
155;8.52420504235585;"P402Task1";60;66
156;3.98009646483142;"P403Task2";56;66
157;3.53246635316829;"P404Task2";51;57
158;8.10620983669467;"P405Task2";49;54
159;6.12254326968042;"P40Task2";51;63
160;4.89226957669388;"P41Task2";43;28
161;5.31523009779403;"P42Task2";54;34
162;5.54951296052643;"P43Task1";50;44
163;4.71295878800444;"P44Task1";52;66
164;4.56150825490315;"P45Task1";54;71
165;3.10189829787674;"P46Task2";60;93
166;6.40306424820664;"P47Task2";49;60
167;5.18277724454625;"P48Task2";32;34
168;4.6974729180738;"P49Task1";49;55
169;5.11998472896271;"P50Task1";38;54
170;3.74948035730453;"P51Task1";54;57
171;4.96270907982197;"P52Task2";36;29
172;5.78883586272889;"P53Task2";39;26
173;8.43214027756963;"P54Task2";42;32
174;3.14975860361919;"P55Task1";53;55
175;4.43560259162327;"P56Task1";40;31
176;9.50690793957246;"P57Task1";45;47
177;6.65352398559387;"P58Task2";38;26
178;9.30333051614694;"P59Task2";40;35
179;5.34595034146513;"P61Task1bis";56;61
180;6.05219421375013;"P62Task1";46;55
181;3.77761764395312;"P64Task2";33;32
182;1.25166332151848;"P65Task2";27;21
183;2.81299286442011;"P66Task2";27;22
184;5.61107037339865;"P67Task1";60;68
185;7.00568180726827;"P68Task1";49;38
186;3.67860073976136;"P69Task1";33;21
187;5.1312809394675;"P70Task2";40;43
188;6.90947675965607;"P71Task2";40;33
189;6.4366523105487;"P72Task2";38;52
190;6.60946209208378;"P73Task1";60;48
191;2.67445194050434;"P74Task1";54;40
192;4.00792226547447;"P75Task1";32;30
193;5.76118192579878;"P76Task2";36;35
194;5.56477498424142;"P77Task2";36;27
195;2.0980423835542;"P78Task2";48;45
196;3.4539252075485;"P79Task1";56;63
197;5.56397255792317;"P80Task1";44;50
198;6.91911499988336;"P81Task1";44;44
199;5.20687987870519;"P82";38;34
200;4.83404846523731;"P83";42;49
201;3.90055412670124;"P84";40;39
202;6.61464219778788;"P86Task1";47;48
203;5.17311824620475;"P87Task1";47;47
204;5.56752710962098;"P88Task2";47;52
205;6.25826462596786;"P89Task2";48;54
206;6.15023527146305;"P90Task2";44;47
207;8.03114918201468;"P91Task1";48;58
208;10.2429803798273;"P92Task1";44;58
209;6.34294765594454;"P93Task1";60;43
210;4.24312273338712;"P94Task2";50;65
211;6.24541032203113;"P95Task2";44;31
212;4.82381771943723;"P96Task2";39;32
213;4.8836999777083;"P97Task1";38;41
214;5.65253230893817;"P98Task1";49;50
215;9.63905834691635;"P99Task1";37;35
