"ParticipantNumber","DateofFirsttest","Dateofsecondtest","Ageatfirsttest","Ageatsecondtest","RawBPVSScore1","linguisticage1","RawBPVSScore2","linguisticage2","LanCh","RawTROGScore2","Gender","Postcode","Employmentstatusincome","selfcodedoccupationvariable","NSSEC","SIMD16Vigintile","SIMD16DECILE","TestRetestInterval","Eyetrack_data"
1,"04-Apr-16","16-Jan-17",43,52,28,-13.95,37,-17.31,-3.36,3,"F","efaf9388",NA,NA,NA,16,8,9,"Y"
2,"04-Apr-16","16-Jan-17",42,51,28,-11.9,53,21.57,33.47,6,"F","340d148b",NA,NA,NA,17,9,9,"Y"
4,"04-Apr-16","16-Jan-17",39,48,35,5.13,51,25,19.87,3,"M","d353d72a",NA,NA,NA,16,8,9,"Y"
15,"06-Apr-16","16-Jan-17",43,53,40,4.65,40,-15.09,-19.74,0,"M","aa759188",NA,NA,NA,13,7,9,"Y"
24,"12-Apr-16","07-Dec-16",41,49,58,65.85,61,46.94,-18.91,3,"M","7166be9e",NA,NA,NA,12,6,7,"Y"
32,"19-Apr-16","22-Feb-17",37,46,38,18.91,37,-6.52,-25.43,1,"F","fbde8d47",NA,NA,NA,13,7,10,"Y"
37,"20-Apr-16","11-Nov-16",37,44,38,18.92,47,25,6.08,4,"F","d33cb0d9",6,8,1,10,5,6,"Y"
50,"26-Apr-16","10-Nov-16",38,45,54,68.42,56,46.67,-21.75,11,"F","c74dae16",7,1,1,20,10,6,"Y"
52,"27-Apr-16","22-Feb-17",36,43,29,2.77,40,4.65,1.88,3,"M","71b87178",NA,NA,NA,20,10,9,"Y"
54,"27-Apr-16","22-Feb-17",42,51,32,-7.14,48,9.8,16.94,4,"F","34bcbc9e",NA,NA,NA,11,6,9,"Y"
56,"27-Apr-16","22-Feb-17",40,50,31,-5,33,-22,-17,3,"F","595a4ce6",NA,NA,NA,13,7,9,"Y"
59,"28-Apr-16","15-Nov-16",40,47,35,2.5,60,51.06,48.56,5,"M","4df59dcf",3,2,3,11,6,6,"Y"
84,"07-May-16","19-Nov-16",40,47,39,10,56,40.43,30.43,3,"M","1c31e6f3",7,1,1,17,9,6,"Y"
99,"10-May-16","23-Jan-17",37,46,35,10.81,58,47.83,37.02,2,"M","1c804ee6",4,3,1,18,9,8,"Y"
118,"13-May-16","23-Jan-17",34,43,35,20.59,40,4.65,-15.94,0,"M","65c96fb7",7,1,1,16,8,8,"Y"
134,"17-May-16","08-Feb-17",34,43,29,8.82,48,30.23,21.41,3,"F","ef715c6e",4,3,1,19,10,8,"Y"
140,"17-May-16","08-Feb-17",29,38,15,-3.45,35,7.89,11.34,0,"F","65a60844",6,8,1,19,10,8,"Y"
141,"17-May-16","08-Feb-17",32,41,22,6.25,39,7.32,1.07,4,"F","96571acc",7,8,1,20,10,8,"Y"
143,"17-May-16","08-Feb-17",28,37,25,25,39,18.92,-6.08,1,"M","fbb1eab4",6,8,1,20,10,8,"Y"
149,"25-May-16","17-Nov-16",29,35,32,34.48,33,11.43,-23.05,1,"M","ef1e3b9d",3,3,3,17,9,5,"Y"
152,"25-May-16","17-Nov-16",33,38,14,-15.15,32,2.63,17.78,0,"M","beda40a1",4,3,1,20,10,5,"Y"
154,"25-May-16","17-Jan-17",34,41,39,29.41,24,-12.2,-41.61,0,"F","c722c9e5",6,1,1,7,4,7,"Y"
156,"25-May-16","17-Jan-17",33,41,23,3.03,32,-4.88,-7.91,0,"M","4d2b5229",2,1,1,14,7,7,"Y"
160,"27-May-16","17-Jan-17",33,41,53,87.88,66,90.24,2.36,6,"M","1c5e8100",5,3,1,16,8,7,"Y"
175,"27-May-16","17-Jan-17",36,45,39,22.22,30,-15.55,-37.77,0,"M","4d9afa3c",6,1,1,20,10,7,"Y"
200,"17-May-16","08-Feb-17",31,39,22,9.68,24,-10.26,-19.94,0,"M","82260403",7,1,1,18,9,8,"Y"
201,"17-May-16","08-Feb-17",31,39,20,6.45,15,-28.21,-34.66,0,"F","82260403",7,1,1,18,9,8,"Y"
202,"17-May-16","08-Feb-17",25,34,28,48,35,20.59,-27.41,1,"F","59848300",6,8,1,20,10,8,"Y"
3,"04-Apr-16","16-Jan-17",46,56,51,30.43,24,-37.5,-67.93,2,"M","082f9fcf",NA,NA,NA,17,9,9,"Y"
14,"06-Apr-16","16-Jan-17",45,54,19,-28.8,43,-7.41,21.39,0,"F","207c0a44",NA,NA,NA,19,10,9,"Y"
17,"06-Apr-16","16-Jan-17",45,55,55,44.44,73,56.36,11.92,10,"M","aac4399d",NA,NA,NA,20,10,9,"Y"
19,"07-Apr-16","16-Jan-17",44,53,41,4.35,39,-16.98,-21.33,1,"F","c7fc0603",NA,NA,NA,17,9,9,"Y"
38,"20-Apr-16","26-Nov-16",54,61,64,40.74,71,37.7,-3.04,10,"F","824963f0",1,7,1,19,10,7,"Y"
39,"20-Apr-16","10-Nov-16",54,60,56,22.22,80,56.67,34.45,12,"M","82f8cbe5",1,3,1,19,10,6,"Y"
40,"25-Apr-16","07-Dec-16",51,58,63,45.1,66,34.48,-10.62,7,"M","aaab5e6e",7,1,1,12,6,7,"Y"
61,"29-Apr-16","02-Dec-16",56,63,61,28.57,50,-6.35,-34.92,1,"F","9689d52a",4,3,1,12,6,7,"Y"
62,"02-May-16","06-Dec-16",46,54,55,41.3,44,-5.56,-46.86,6,"M","34d3db6d",6,7,1,6,3,7,"Y"
80,"05-May-16","06-Dec-16",44,51,50,34.09,44,0,-34.09,4,"M","6578c7a2",7,1,1,19,10,7,"Y"
81,"05-May-16","06-Dec-16",44,51,44,15.9,52,19.61,3.71,5,"M","6578c7a2",7,1,1,19,10,7,"Y"
85,"09-May-16","11-Nov-16",61,67,68,31.15,93,67.16,36.01,12,"M","20a2c5a2",7,2,2,20,10,6,"N"
86,"09-May-16","11-Nov-16",47,54,48,19.15,71,220.37,201.22,11,"M","20a2c5a2",7,2,2,20,10,6,"Y"
90,"10-May-16","23-Jan-17",44,52,47,25,54,23.08,-1.92,3,"M","7109d96d",4,3,1,20,10,8,"Y"
91,"10-May-16","23-Jan-17",48,56,58,41.67,60,26.79,-14.88,3,"F","08f15029",6,8,1,18,9,8,"Y"
92,"10-May-16","23-Jan-17",44,53,58,54.54,69,52.83,-1.71,7,"M","1c804ee6",7,1,1,18,9,8,"Y"
102,"10-May-16","23-Jan-17",48,57,41,-4.16,42,-15.79,-11.63,6,"F","d3e27f3f",3,1,1,18,9,8,"Y"
113,"12-May-16","01-Feb-17",47,56,39,-6.38,48,0,6.38,4,"M","96387d3f",7,1,1,16,8,8,"Y"
144,"24-May-16","09-Dec-16",49,55,58,38.78,69,47.27,8.49,4,"M","efc0f47b",6,1,1,3,2,6,"Y"
159,"24-May-16","09-Dec-16",44,52,44,15.9,45,0,-15.9,1,"M","be048f47",3,3,3,13,7,6,"Y"
161,"24-May-16","09-Dec-16",47,53,57,42.55,58,28.3,-14.25,5,"F","efc0f47b",6,7,1,3,2,6,"Y"
164,"24-May-16","09-Dec-16",44,51,62,65.9,68,56.86,-9.04,3,"F","71d7168b",2,4,3,14,7,6,"Y"
165,"24-May-16","09-Dec-16",45,51,60,57.78,56,84.31,26.53,5,"M","fb0042a1",4,3,1,14,7,6,"Y"
192,"07-Jun-16","01-Feb-17",49,57,56,34.69,65,35.09,0.4,5,"M","4d4435da",4,3,1,20,10,7,"Y"
198,"07-Jun-16","01-Feb-17",60,68,71,40,88,52.94,12.94,10,"F","20cda251",6,8,1,19,10,7,"Y"
401,"07-Jun-16","01-Feb-17",58,65,46,-8.62,52,-6.15,2.47,1,"M","d38d18cc",7,1,1,19,10,7,"Y"
402,"07-Jun-16","01-Feb-17",60,66,66,30,70,24.24,-5.76,8,"F","59352b15",6,8,1,19,10,7,"Y"
404,"07-Jun-16","01-Feb-17",51,59,57,31.37,92,84.75,53.38,11,"M","beb52752",6,7,1,19,10,7,"Y"
