Numb,List,Task,Location,Date,Time,Exp,Age,Sex,Language,BPVS,Notes,TR,ETCODE,Consent,AGEYEAR,retest
1,1,"1,2",Highland Fling,04/04/2016,09:20,CG,43,F,English,28,NA,82.4,P01Task1,NA,Three,Y
2,2,"1,2",Highland Fling,04/04/2016,09:50,CG,42,F,English,40,NA,94.7,P02Tas1,NA,Three,Y
3,3,"1,2",Highland Fling,04/04/2016,10:15,CG,46,M,English,51,Poor calibration in Block 1; gets distracted by moise on Trial 10 of Block 2,85.6,P03Task1,NA,Three,Y
4,1,"3,4",Highland Fling,04/04/2016,10:40,CG,39,M,English,35,Poor calibration in Block 2,77.7,P04Task2,NA,Three,Y
5,2,"3,4",Bonnington House,05/04/2006,NA,CG,26,F,English,30,Sometimes does not point; discontinued BPVS because of tiredness; gets distracted on trial 13 of block 2,72.7,P05Task2,NA,Two,N
6,3,"3,4",Bonnington House,05/04/2006,NA,CG,34,F,English,44,NA,78.3,P06Task2,NA,Two,N
7,1,"1,2",Bonnington House,05/04/2006,NA,CG,35,M,English,37,NA,79.2,P07Task1,NA,Two,N
8,2,"1,2",Bonnington House,05/04/2006,NA,CG,30,M,English,12,Does not really understand task; rarely points to picture,85.7,P08Task1,NA,Two,N
9,3,"1,2",Bonnington House,05/04/2006,NA,CG,36,F,English,47,Poor claibration before block 2,79.5,P09Task1,NA,Three,N
10,1,"3,4",Bonnington House,05/04/2006,NA,CG,35,F,English,30,"Very distracted, moves a lot, speaks over sentences; sometimes does not point; distracted on trials 6 and 14 of block1, 8 and 10 of block 2",48.7,P10Task2,NA,Two,N
11,2,"3,4",Bonnington House,05/04/2006,NA,CG,24,M,English,23,"Distarcted on trials 8 and 10 of block 1, 15 of block 2",85.8,P11Task2,NA,Two,N
12,3,"3,4",Bonnington House,05/04/2006,NA,CG,32,F,English,40,NA,84.5,P12Task2,NA,Two,N
13,1,"1,2",Highland Fling,06/04/2016,12:35,CG,40,F,English,31,"DISCARD: Speech delay but good comprehension; often moves, gets distracted before question",69.9,P13Task1,NA,DISCARD,N
14,2,"1,2",Highland Fling,06/04/2016,13:00,CG,45,F,English,19,"Trial 10, block2: distracted. Random responding in BPVS?",86.1,P14Task1,NA,Three,Y
15,3,"1,2",Highland Fling,06/04/2016,13:20,CG,43,M,English,40,Moves a lot; distracted on trial 9 Block 1 and trial 12 block 2; moved on trial 10 block 2,88.8,P15Task1,NA,Three,Y
16,1,"3,4",Highland Fling,06/04/2016,13:45,CG,47,M,English,37,NA,84,P16Task2,NA,Three,N
17,2,"3,4",Highland Fling,06/04/2016,14:10,CG,45,M,English,55,NA,90.4,P17Task2,NA,Three,Y
18,3,"3,4",Highland Fling,07/04/2016,12:40,CG,40,F,English,33,"DISCARD; Very poor calibration; also distracted on trial 9, block 2",34.3,P18Task2bis,NA,DISCARD,N
19,1,"1,2",Highland Fling,07/04/2016,13:00,CG,44,F,English,41,Poor first calibration,71.62,P19Task1,NA,Three,Y
20,2,"1,2",Highland Fling,07/04/2016,13:30,CG,50,F,English,48,NA,94.9,P20Task1,NA,Four-Five,N
21,3,"1,2",Highland Fling,07/04/2016,14:00,CG,52,M,English,69,NA,92,P21Task1,NA,Four-Five,N
22,1,"3,4",Forest Friends,12/04/2016,NA,CG,38,M,English,30,Poor first calibration,77.4,P22Task2,NA,Three,N
23,2,"3,4",Forest Friends,12/04/2016,NA,CG,51,F,English,53,NA,75.4,P23Task2,NA,Four-Five,N
24,3,"3,4",Forest Friends,12/04/2016,NA,CG,41,M,English,58,Glasses: first and second calibration poor; moves about a lot,46.5,P24Task2,NA,Three,Y
25,1,"1,2",Forest Friends,12/04/2016,NA,CG,57,M,English,44,NA,81.3,P25Task1,NA,Four-Five,N
26,2,"1,2",Forest Friends,12/04/2016,NA,CG,54,F,English,55,NA,84.8,P26Task1,NA,Four-Five,N
27,3,"1,2",Argyle Bridge,15/04/2016,09:30,CG,41,M,English,30,moves a lot,78.4,P27Task1,NA,Three,N
28,1,"3,4",Argyle Bridge,15/04/2016,10:00,CG,48,F,English,38,"Trial 1, Block 1; trial 8 and 9 Block 2: distracted",74,P28Task2,NA,Four-Five,N
