"Participant" "Age" "BPVS" "FixStartRel"
"P01Task1" 43 28 642.48
"P02Tas1" 42 40 769.724
"P03Task1" 46 51 797.137166666667
"P04Task2" 39 35 671.78025
"P05Task2" 26 30 1268.89983333333
"P06Task2" 34 44 795.564
"P07Task1" 35 37 748.642
"P08Task1" 30 12 258.978
"P09Task1" 36 47 905.9553
"P100Task2" 37 33 618.299142857143
"P101Task2" 48 43 833.0144
"P102Task2" 48 41 904.4805
"P103Task1" 41 73 497.774166666667
"P104Task1" 35 30 787.8125
"P105Task1" 56 56 701.468333333333
"P106Task2" 40 40 463.648428571429
"P107Task2" 44 42 847.736
"P108Task2" 50 49 893.3386
"P10Task2" 35 30 1043.18675
"P110Task1" 43 43 790.25775
"P111Task1" 44 37 688.4404
"P112Task2" 35 26 780.663
"P113Task2" 47 39 665.786111111111
"P114Task2" 47 67 656.6564
"P115Task1" 55 48 859.313125
"P116Task1" 30 34 1255.31711111111
"P117Task1" 32 26 945.893
"P118Task2" 34 35 596.131
"P119Task2" 31 29 874.724833333333
"P11Task2" 24 23 891.469
"P120Task2" 26 19 372.7535
"P121Task1" 58 55 588.439888888889
"P122Task1" 55 54 650.410166666667
"P123Task1" 52 51 821.6153
"P124Task2" 57 66 527.300142857143
"P125Task2" 53 51 809.351571428571
"P126Task2" 39 48 734.492
"P127Task1" 37 30 680.94125
"P129Task1" 28 24 1161.3698
"P12Task2" 32 40 792.084166666667
"P130Task2" 56 75 550.790285714286
"P131Task2" 61 57 621.094333333333
"P132Task2" 60 72 471.294857142857
"P133Task1" 27 12 1091.4535
"P134Task1" 34 29 1039.965
"P135Task1" 29 32 901.994
"P136Task2" 56 61 677.95175
"P137Task2" 54 70 395.903857142857
"P138Task2" 61 46 472.466222222222
"P139Task1" 27 23 1096.91314285714
"P140Task1" 29 15 730.77525
"P141Task1" 32 22 736.83
"P142Task2" 60 49 613.615142857143
"P143Task2" 28 25 520.8035
"P144Task2" 49 58 893.86875
"P145Task1" 31 35 442.02125
"P146Task1" 27 35 717.2465
"P147Task1" 28 28 784.737
"P148Task2" 27 17 603.05325
"P149Task2" 29 32 851.63375
"P14Task1" 45 19 633.435428571429
"P150Task2" 34 29 774.436666666667
"P151Task1" 24 27 546.179
"P152Task1" 33 14 830.76225
"P153Task1" 44 38 935.7308
"P154Task2" 34 39 990.994
"P155Task2" 32 33 839.26825
"P156Task2" 33 23 626.36375
"P157Task1" 26 24 382.738
"P158Task1" 41 37 941.3288
"P159Task1" 44 44 650.8924
"P15Task1" 43 40 788.322333333333
"P160Task2" 33 53 659.9585
"P161Task2" 47 57 959.9664
"P162Task2" 39 34 796.296714285714
"P163Task1" 30 28 1034.951
"P164Task1" 44 62 849.979375
"P165Task1" 45 60 399.224333333333
"P166Task2" 48 44 606.497166666667
"P167Task2" 51 40 680.520428571429
"P168Task2" 45 42 623.194222222222
"P169Task1" 36 34 695.508833333333
"P16Task2" 47 37 824.8588
"P170Task1" 51 52 700.4686
"P171Task1" 62 58 673.459888888889
